otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735728.069825579,114.2695,44.5733333333333,4.78,2.13,,C,90140,0.09,0.7,0.3
735728.158564699,114.267166666667,44.554,5.75,1.76,,C,90348,0.06,0.8,0.5
735728.354844097,114.292666666667,44.5726666666667,6.15,1.92,,C,90830,0.05,0.8,0.5
735728.42275625,114.479833333333,44.2266666666667,4.01,1.68,,C,91008,0.05,0.9,0.9
735728.437888773,114.275,44.5508333333333,4,1.37,,C,91030,0.09,1,0.9
735728.932191435,114.254333333333,44.5506666666667,2.89,1.86,,C,92222,0.06,0.9,0.8
735729.006044907,114.243166666667,44.5528333333333,3.68,2.07,,B,100008,0.1,0.6,0.6
735729.326737037,114.687333333333,44.5921666666667,4.38,2.19,,C,100750,0.08,1.2,0.6
735729.360217593,114.708833333333,44.632,4.71,2.31,,D,100838,0.06,5.6,11.8
735729.375800926,114.701833333333,44.6156666666667,4.54,2.32,,D,100901,0.05,4.9,10.4
735729.509450463,114.269166666667,44.568,4.94,1.96,,C,101213,0.07,0.7,0.4
735729.511525463,114.272833333333,44.5665,4.87,1.23,,C,101216,0.05,0.8,0.5
735730.317508218,114.263666666667,44.5706666666667,5.43,1.62,,C,110737,0.06,0.7,0.6
735730.655966319,112.556833333333,44.6513333333333,4.9,1.55,,C,111543,0.2,1.8,3.5
735731.100904282,114.274166666667,44.558,6.34,2.07,,C,120225,0.04,0.7,0.4
735731.244248843,114.258333333333,44.5591666666667,6.43,2.23,,C,120551,0.09,0.7,0.4
735731.766260417,114.2635,44.571,5,1.87,,C,121823,0.06,0.6,0.4
735732.39950463,114.251333333333,44.5516666666667,4.87,2.08,,C,130935,0.06,0.9,0.6
735733.137455324,114.251833333333,44.5563333333333,5.25,1.69,,C,140317,0.09,0.7,0.6
735733.275427315,114.273333333333,44.5598333333333,6.71,2.07,,C,140636,0.05,0.6,0.3
735733.589908912,114.2735,44.5688333333333,5.1,2.24,,C,141409,0.08,0.7,0.3
