otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL
735972.676127315,-114.0825,44.441,5,0,,D,200265,0.01,2.3,12.6,4.689
735972.676152894,-114.27,44.4426666666667,35.57,0,,D,200266,0.19,1.8,20.1,32.165
735972.737244676,-114.004833333333,44.3713333333333,5,0,,D,200267,0.05,1.6,13.2,4.701
735972.944056713,-114.017,44.554,5,0,,D,200268,0.08,8.3,14.3,4.689
735973.072422454,-114.066166666667,44.461,5,0,,D,200269,0.02,2.9,12.6,4.689
735973.223585995,-114.064,44.4753333333333,5,0,,D,200270,0.14,2.3,16.9,4.689
735973.264922801,-113.951,44.4283333333333,5,0,,D,200271,0.24,2.5,23.8,4.727
735973.267116782,-111.655,43.2133333333333,4.12,0,,D,200272,0.55,25.3,25.6,3.93
735973.362949421,-112.088833333333,43.1933333333333,4.94,0,,D,200273,0.18,9.2,1.1,4.647
735973.562608912,-113.610333333333,44.3211666666667,5,0,,D,200274,2.04,23.2,99,4.689
735973.562840625,-113.331,44.9275,45.43,0,,D,200275,4.7,28,99,41.045
735973.576562037,-114.069666666667,44.4505,5,0,,D,200276,0.02,1.1,12.6,4.71
735973.625266088,-114.074333333333,44.461,5,0,,D,200277,0.09,4.6,14.4,4.71
735973.625279398,-111.782166666667,44.3538333333333,5,0,,D,200278,0.38,5.1,34.2,4.715
735973.888848264,-114.1175,44.398,5,0,,D,200279,0.08,2.7,14,4.71
735973.888862384,-113.988,44.4543333333333,0.02,0,,D,200280,0.34,1.6,1.7,0.24
735974.062980093,-114.223666666667,44.4376666666667,4.93,0,,D,200281,0.42,4.3,3,4.67
735974.067266088,-113.954666666667,44.4106666666667,5,0,,D,200282,0.07,2.9,13.9,4.724
735974.067460764,-112.225333333333,44.5103333333333,5,0,,D,200283,3.77,11.9,99,4.701
735974.105525463,-114.076333333333,44.4483333333333,5,0,,D,200284,0.07,1.7,13.8,4.71
735974.105531944,-114.139833333333,44.4411666666667,17.53,0,,D,200285,0.05,2.8,3.5,15.932
735974.365199074,-113.017166666667,44.6223333333333,5.96,0,,D,200286,1.39,78.2,29.1,5.53
735974.375100463,-113.897,44.4808333333333,1.38,0,,C,200287,0.18,2.4,1.4,1.409
